ncer,Name,Assignment,Comments,Feelings,Link to Submission,Name,Squad Leader,Delmer's Comments,Tripta's Comments,Spencer's Comments,Markus's Comments,Alex's Comments,Tim's Comments
1/7/2014 8:04:00,messenger bag,Lab 1 - Ruby Review and Command Line,Sustainable party fixie bicycle rights. Iphone cliche Wayfarers Shoreditch vice vegan. Mixtape leggings aesthetic high life butcher skateboard helvetica McSweeney's. Vegan high life cred squid party echo park put a bird on it helvetica. Put a bird on it scenester Marfa gentrify mixtape.,I'm struggling.,https://github.com/g3jfv697i/lab_20140106,messenger bag,,,,,,,
1/7/2014 11:27:20,cliche,Lab 1 - Ruby Review and Command Line,,I did well.,https://github.com/4vch6o/Week1-Day1,cliche,,,,,,,
1/7/2014 11:29:54,trust fund,Lab 1 - Ruby Review and Command Line,,I did excellently.,https://github.com/gfoh9kp6o/week1lab1,trust fund,,,,,,,
1/7/2014 11:34:03,DIY,Lab 1 - Ruby Review and Command Line,Four loko blog DIY +1 before they sold out moon Portland. 8-bit +1 stumptown cred bicycle rights single-origin coffee whatever fixie. Cardigan iPhone vegan mlkshk sustainable. Party Wes Anderson quinoa artisan.,I did well.,https://github.com/r85pv2z/week1-day1,DIY,,,,,,,
1/7/2014 12:18:34,photo booth,Lab 1 - Ruby Review and Command Line,,I did well.,https://github.com/4ajytqegz/WDIsubmit/tree/master/week1day1,photo booth,,,,,,,
1/9/2014 8:36:38,ethical,Lab 3 - Blender,Artisan Portland Wes Anderson Banksy single-origin coffee art photo booth. Twee Rerry Richardson aesthetic fixie vice fanny pack butcher. Food truck tofu VHS freegan vegan before they sold out Wes Anderson Brooklyn you probably haven't heard of them. Put a bird on it bicycle rights before they sold out mlkshk whatever jean shorts Wes Anderson scenester chambray. You probably haven't heard of them artisan mlkshk banh mi.,I did well.,https://github.com/1k8u6hg0/wk1d3.git,ethical,,,,,,,
1/9/2014 8:57:28,,Lab 3 - Blender,Fap messenger bag whatever tumblr. Whatever Four Loko vinyl brunch letterpress bicycle rights tattooed Portland iPhone. Readymade dreamcatcher food truck viral organic chambray master cleanse. Organic gluten-free messenger bag Pitchfork Wayfarers whatever cardigan moon cliche.,I managed to complete it.,https://gist.github.com/bp6yzf5wpl/553b3295953211c146a6,,,,,,,,
1/9/2014 9:20:08,,Lab 3 - Blender,Brunch retro gentrify cardigan put a bird on it thundercats Portland. Gluten-free etsy bicycle rights banh mi single-origin coffee yr salvia hoodie. Mlkshk aesthetic quinoa banh mi messenger bag. Photo booth irony gentrify chambray raw denim next level McSweeney's. Aesthetic vinyl mustache Williamsburg retro McSweeney's Carles brunch.,I managed to complete it.,https://github.com/3hmvtmeewxw/wk1d1,,,,,,,,
1/9/2014 9:38:12,,Lab 3 - Blender,Dreamcatcher Marfa quinoa thundercats cardigan vegan farm-to-table. Put a bird on it art squid vice readymade wolf McSweeney's. Shoreditch Brooklyn leggings mustache Banksy viral Rerry Richardson blog. Messenger bag Four Loko Austin twee fanny pack irony ethical. Williamsburg Four Loko next level artisan readymade cardigan.,I'm struggling.,https://github.com/0r54z67m4ac/wdi_lab_3,,,,,,,,
1/9/2014 9:44:54,,Lab 3 - Blender,Carles raw denim Four Loko single-origin coffee bicycle rights skateboard locavore fanny pack leggings. Biodiesel scenester butcher Pitchfork. Cred +1 photo booth tumblr letterpress Four Loko jean shorts. Carles Wes Anderson brunch echo park moon 8-bit photo booth.,I managed to complete it.,git hub issues,,,,,,,,
